application_id,applicant_name,age,annual_income,employment_length,sex,race,credit_score,debt_to_income_ratio,num_credit_lines,num_derogatory_marks,months_since_last_delinquency,loan_amount,loan_term,loan_purpose,interest_rate,avg_monthly_balance,num_overdrafts,num_late_fees,monthly_income_deposits,loan_status
APP000001,Applicant_1,59,70227,,Female,Other,786,0.31,11,0,,5759,84,education,8.09,1448,1,1,19288,0
APP000002,Applicant_2,49,183522,2.0,Female,Black,650,0.36,6,1,,87176,84,business,13.31,18624,0,0,9461,0
APP000003,Applicant_3,35,104433,1.0,Male,Other,539,0.39,9,1,,6629,120,business,4.76,10843,0,0,2169,1
APP000004,Applicant_4,63,93704,15.0,Female,Asian,350,0.09,12,0,,56035,60,home_improvement,7.03,47713,1,0,10781,0
APP000005,Applicant_5,28,26861,18.0,Female,Black,775,0.32,4,0,,32388,84,education,23.39,33154,0,0,14313,0
APP000006,Applicant_6,41,81914,29.0,Male,Asian,824,0.41,18,2,,12385,120,major_purchase,23.68,26824,0,1,2895,0
APP000007,Applicant_7,59,83888,15.0,Female,White,456,0.58,15,1,,39551,120,credit_card,4.39,41218,0,1,3654,0
APP000008,Applicant_8,39,99286,30.0,Female,Asian,498,0.06,4,2,,83248,36,credit_card,14.99,4493,1,0,12368,0
APP000009,Applicant_9,43,81293,,Female,Other,730,0.42,14,0,,93435,84,debt_consolidation,6.46,16424,0,0,9992,0
APP000010,Applicant_10,31,88515,3.0,Female,White,417,0.08,18,0,,98487,84,home_improvement,18.65,37746,0,0,1577,1
APP000011,Applicant_11,31,174596,9.0,Male,White,374,0.14,17,0,,27994,120,business,16.9,24541,0,0,2187,1
APP000012,Applicant_12,44,27065,17.0,Female,Hispanic,666,0.15,2,0,,76522,84,education,14.61,41418,0,0,13250,0
APP000013,Applicant_13,56,188756,31.0,Male,Other,477,0.23,19,0,,68264,36,home_improvement,14.67,10388,0,1,13464,1
APP000014,Applicant_14,60,108720,29.0,Male,Other,407,0.51,14,0,,27087,36,home_improvement,16.74,2143,0,0,4249,1
APP000015,Applicant_15,44,184437,35.0,Male,Black,778,0.52,4,0,,72571,84,business,12.97,5914,0,0,3855,0
APP000016,Applicant_16,23,78876,8.0,Female,Asian,392,0.26,2,1,,10104,120,car,19.24,32353,0,0,10159,0
APP000017,Applicant_17,42,174776,35.0,Female,Asian,399,0.29,13,2,,33516,60,major_purchase,18.81,38512,0,0,4059,1
APP000018,Applicant_18,22,156694,28.0,Male,Other,480,0.17,7,0,,46129,60,major_purchase,10.76,18114,0,0,6274,1
APP000019,Applicant_19,44,103797,15.0,Male,Asian,395,0.29,8,1,,57921,60,education,18.99,12504,0,0,9163,0
APP000020,Applicant_20,64,111141,27.0,Male,Other,531,0.2,10,0,,92147,84,business,10.87,17208,0,1,7862,0
APP000021,Applicant_21,50,122390,20.0,Male,White,550,0.15,3,1,,83959,84,major_purchase,16.15,30548,1,0,15758,0
APP000022,Applicant_22,58,116856,1.0,Male,Asian,318,0.14,4,0,,5223,60,credit_card,8.05,47951,0,0,7695,0
APP000023,Applicant_23,22,86201,34.0,Male,Asian,586,0.48,6,0,,15962,60,car,10.29,18683,0,0,11078,1
APP000024,Applicant_24,41,183766,27.0,Female,Other,506,0.11,7,0,,68645,60,home_improvement,8.2,5641,0,0,19352,0
APP000025,Applicant_25,53,109766,35.0,Female,Other,610,0.39,7,2,,95595,120,education,24.76,49596,1,0,7478,0
APP000026,Applicant_26,32,42995,30.0,Female,Black,402,0.14,17,0,,80529,36,debt_consolidation,16.65,17503,0,0,19748,0
APP000027,Applicant_27,42,112320,32.0,Male,Asian,458,0.51,6,0,,31559,36,education,18.0,14612,0,0,11610,0
APP000028,Applicant_28,64,100141,22.0,Female,Hispanic,677,0.2,19,0,,13099,60,home_improvement,17.21,9821,0,0,17825,0
APP000029,Applicant_29,45,159491,16.0,Male,Other,523,0.07,18,1,,89226,36,business,4.11,26542,0,0,17586,0
APP000030,Applicant_30,69,199024,0.0,Male,Hispanic,391,0.3,12,1,,99194,120,credit_card,18.95,18272,1,0,5524,0
APP000031,Applicant_31,47,184909,22.0,Female,White,475,0.6,19,2,,54236,36,business,20.25,9151,0,0,14614,1
APP000032,Applicant_32,62,90799,26.0,Male,White,409,0.5,11,0,,87909,84,business,10.82,19678,1,0,1231,0
APP000033,Applicant_33,48,199949,24.0,Female,Hispanic,478,0.36,17,1,,50722,120,major_purchase,16.11,29995,0,1,11421,0
APP000034,Applicant_34,36,65687,31.0,Female,White,752,0.15,3,1,,83401,36,business,4.09,17501,0,0,19415,0
APP000035,Applicant_35,35,57276,18.0,Female,Hispanic,374,0.11,15,0,,73551,120,debt_consolidation,8.07,1496,0,0,7055,0
APP000036,Applicant_36,67,54523,23.0,Male,Black,791,0.51,5,2,,78130,120,credit_card,7.63,41905,0,0,6730,0
APP000037,Applicant_37,64,74615,2.0,Male,Black,402,0.48,4,0,,30750,120,business,9.01,37727,0,1,10698,1
APP000038,Applicant_38,23,30514,11.0,Male,White,340,0.3,1,0,,82350,84,debt_consolidation,11.71,47017,2,0,3632,1
APP000039,Applicant_39,57,67456,34.0,Female,Hispanic,734,0.28,3,0,,86256,84,car,8.2,48994,0,0,13831,1
APP000040,Applicant_40,27,27233,14.0,Male,Hispanic,633,0.46,10,1,,78123,60,debt_consolidation,8.42,9918,0,0,12171,1
APP000041,Applicant_41,41,21102,16.0,Female,Hispanic,579,0.34,13,2,,85525,36,education,24.06,40504,1,0,8326,1
APP000042,Applicant_42,29,86133,31.0,Male,White,841,0.27,7,2,,32486,60,education,8.94,33930,0,0,11385,0
APP000043,Applicant_43,59,66715,6.0,Female,Hispanic,805,0.19,14,1,,92992,84,debt_consolidation,15.69,9185,0,0,17874,0
APP000044,Applicant_44,38,130545,18.0,Female,Other,542,0.12,13,0,,24630,120,credit_card,17.31,679,1,1,11669,1
APP000045,Applicant_45,24,124085,6.0,Male,Hispanic,378,0.38,5,0,,98746,120,business,10.17,30790,0,0,10433,1
